;0
0;0.0
1;0.0
2;0.001
3;0.0
4;0.0
5;0.004
6;0.0
7;0.0
8;0.015
9;0.027
10;0.0
11;0.007
12;0.123
13;0.005
14;0.0
15;0.014
16;0.007
17;0.004
18;0.0
19;0.006
20;0.008
21;0.002
22;0.025
23;0.0
24;0.0
25;0.0
26;0.0
27;0.005
28;0.009
29;0.0
30;0.0
31;0.011
32;0.0
33;0.0
34;0.001
35;0.003
36;0.013
37;0.0
38;0.037
39;0.0
40;0.027
41;0.006
42;0.016
43;0.001
44;0.0
45;0.021
46;0.005
47;0.021
48;0.077
49;0.079
50;0.006
51;0.025
52;0.058
