;0
0;0.001
1;0.001
2;0.077
3;0.068
4;0.015
5;0.058
6;0.042
7;0.024
8;0.051
9;0.018
10;0.102
11;0.022
12;0.01
13;0.02
14;0.0
15;0.008
16;0.003
17;0.004
18;0.0
19;0.002
20;0.01
21;0.006
22;0.0
23;0.0
24;0.0
25;0.003
26;0.0
27;0.0
28;0.0
29;0.0
30;0.0
31;0.0
32;0.0
33;0.002
34;0.012
35;0.014
36;0.022
37;0.0
38;0.002
39;0.005
40;0.033
41;0.0
42;0.0
43;0.009
44;0.059
45;0.045
46;0.08
47;0.03
48;0.016
49;0.0
50;0.001
51;0.075
52;0.21
