;0
0;0.023
1;0.088
2;0.067
3;0.041
4;0.012
5;0.005
6;0.005
7;0.018
8;0.001
9;0.044
10;0.0
11;0.007
12;0.004
13;0.003
14;0.05
15;0.017
16;0.001
17;0.011
18;0.0
19;0.005
20;0.001
21;0.009
22;0.0
23;0.0
24;0.0
25;0.0
26;0.0
27;0.001
28;0.0
29;0.0
30;0.0
31;0.0
32;0.0
33;0.0
34;0.0
35;0.001
36;0.001
37;0.056
38;0.036
39;0.033
40;0.013
41;0.017
42;0.034
43;0.003
44;0.027
45;0.001
46;0.0
47;0.001
48;0.01
49;0.012
50;0.009
51;0.003
52;0.0
