;0
0;0.0
1;0.0
2;0.0
3;0.0
4;0.001
5;0.002
6;0.0
7;0.0
8;0.006
9;0.018
10;0.0
11;0.001
12;0.072
13;0.005
14;0.0
15;0.009
16;0.006
17;0.001
18;0.0
19;0.003
20;0.002
21;0.0
22;0.028
23;0.0
24;0.0
25;0.0
26;0.0
27;0.0
28;0.0
29;0.0
30;0.0
31;0.002
32;0.0
33;0.0
34;0.0
35;0.002
36;0.011
37;0.005
38;0.006
39;0.0
40;0.011
41;0.001
42;0.013
43;0.007
44;0.0
45;0.005
46;0.01
47;0.03
48;0.095
49;0.038
50;0.005
51;0.024
52;0.034
