;0
0;0.0
1;0.006
2;0.068
3;0.048
4;0.014
5;0.039
6;0.034
7;0.014
8;0.015
9;0.009
10;0.083
11;0.025
12;0.011
13;0.003
14;0.0
15;0.011
16;0.006
17;0.003
18;0.0
19;0.002
20;0.003
21;0.007
22;0.0
23;0.0
24;0.0
25;0.001
26;0.0
27;0.0
28;0.0
29;0.0
30;0.0
31;0.004
32;0.0
33;0.011
34;0.003
35;0.0
36;0.01
37;0.004
38;0.0
39;0.077
40;0.034
41;0.001
42;0.0
43;0.0
44;0.049
45;0.025
46;0.029
47;0.103
48;0.012
49;0.0
50;0.0
51;0.027
52;0.026
