;0
0;0.005
1;0.02
2;0.058
3;0.05
4;0.074
5;0.05
6;0.04
7;0.0
8;0.0
9;0.014
10;0.047
11;0.097
12;0.0
13;0.003
14;0.005
15;0.034
16;0.021
17;0.005
18;0.0
19;0.0
20;0.001
21;0.002
22;0.005
23;0.0
24;0.0
25;0.0
26;0.0
27;0.0
28;0.073
29;0.0
30;0.0
31;0.0
32;0.0
33;0.0
34;0.0
35;0.035
36;0.024
37;0.001
38;0.001
39;0.076
40;0.082
41;0.008
42;0.025
43;0.033
44;0.087
45;0.04
46;0.03
47;0.122
48;0.125
49;0.149
50;0.001
51;0.015
52;0.0
