Stazione;Grandezza;Data_rilevazione;Ora_rilevazione(GMT);Valore
Lascari;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2014;00:00;69,2
Lascari;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2015;00:00;30,6
Lascari;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2016;00:00;54,2
Lascari;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2017;00:00;42,6
Lascari;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2018;00:00;64,8
Lascari;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2019;00:00;24,8
Lascari;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2020;00:00;53
Lascari;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2021;00:00;--
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2009;00:00;882
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2010;00:00;601,4
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2011;00:00;575,4
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2012;00:00;557,8
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2013;00:00;591
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2014;00:00;728
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2015;00:00;777,2
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2016;00:00;475,6
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2017;00:00;524,6
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2018;00:00;916,8
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2019;00:00;570,6
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2020;00:00;424,4
Lascari;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2021;00:00;--
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2009;00:00;929,53
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2010;00:00;607,8
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2011;00:00;575,4
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2012;00:00;557,8
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2013;00:00;592,32
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2014;00:00;728
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2015;00:00;777,2
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2016;00:00;475,6
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2017;00:00;524,6
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2018;00:00;946,81
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2019;00:00;570,6
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2020;00:00;424,4
Lascari;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2021;00:00;--
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2009;00:00;23,74
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2010;00:00;20,99
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2011;00:00;19,73
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2012;00:00;17,76
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2013;00:00;20,66
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2014;00:00;22,74
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2015;00:00;23,56
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2016;00:00;18,85
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2017;00:00;16,71
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2018;00:00;22,38
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2019;00:00;20,55
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2020;00:00;12,84
Lascari;Giorni piovosi annuali (giorni mm>1) (%);01/01/2021;00:00;--
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2009;00:00;31,6
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2010;00:00;33,6
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2011;00:00;38
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2012;00:00;28,2
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2013;00:00;42,2
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2014;00:00;56,2
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2015;00:00;78,6
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2016;00:00;67,2
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2017;00:00;42,8
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2018;00:00;60,4
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2019;00:00;32
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2020;00:00;48,8
Mezzojuso;Precipitazioni totali giornaliere - Massima annuale (mm);01/01/2021;00:00;--
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2009;00:00;822,6
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2010;00:00;683
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2011;00:00;542,2
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2012;00:00;539,6
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2013;00:00;830
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2014;00:00;685
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2015;00:00;989,6
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2016;00:00;554,4
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2017;00:00;473
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2018;00:00;943
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2019;00:00;657
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2020;00:00;380,2
Mezzojuso;Precipitazioni totali giornaliere - Totale annuale (mm);01/01/2021;00:00;--
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2009;00:00;822,6
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2010;00:00;683
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2011;00:00;555,68
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2012;00:00;539,6
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2013;00:00;830
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2014;00:00;686,78
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2015;00:00;989,6
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2016;00:00;562,78
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2017;00:00;482,22
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2018;00:00;943
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2019;00:00;657
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2020;00:00;380,2
Mezzojuso;PRCPTOT - Precipitazioni totali giornaliere stimate - Totale annuale (mm);01/01/2021;00:00;--
Mezzojuso;Giorni piovosi annuali (giorni mm>1) (%);01/01/2009;00:00;25,21
